id,name,symbol,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,infinite_supply,cmc_rank,last_updated,USD_price,USD_volume_24h,USD_%change_24h,USD_market_cap,platform
22172,PiBridge,PIB,3,2022-10-13T04:52:41.000Z,250000000.0,0.0,0,False,5001,2023-11-15T12:41:59.175Z,0.004343894561718607,1427.04,-5.33170661,0.0,
18172,Bullit,BULT,1,2022-02-17T09:07:35.000Z,500000000.0,0.0,495000000,False,5002,2023-11-15T12:41:59.175Z,0.00407358826912316,1445.95,-7.90285734,0.0,
18777,Dpad Finance,DPAD,4,2022-03-14T08:04:02.000Z,100000000.0,0.0,90000000,False,5003,2023-11-15T12:41:59.175Z,0.0013776573825589394,1422.66,0.23381548,0.0,
19025,Derify Protocol,DRF,4,2022-03-24T06:51:40.000Z,100000000.0,0.0,100000000,False,5004,2023-11-15T12:41:59.175Z,0.03313436881417485,1422.56,2.94292351,0.0,
28264,PREME Token,PREME,2,2023-10-21T07:03:39.000Z,294990000.0,0.0,250000000,False,5005,2023-11-15T12:41:59.175Z,0.014113267055689964,1402.91,-1.61640339,0.0,
26973,Homeety,HOM,3,2023-06-15T04:50:26.000Z,5000000000.0,0.0,0,False,5006,2023-11-15T12:41:59.175Z,0.03830528999581896,1401.2,-2.47593399,0.0,
10031,TEN,TENFI,15,2021-05-24T00:00:00.000Z,256000000.0,0.0,256000000,False,5007,2023-11-15T12:41:59.175Z,0.002273565402301095,1401.1,-2.3457886,0.0,
23208,PulseBitcoin,PLSB,7,2023-01-11T06:55:22.000Z,21000000.0,0.0,0,False,5008,2023-11-15T12:41:59.175Z,0.0577593776082181,1399.86,2.66351882,0.0,
25701,PLOUTΩS,PLOUTΩS,3,2023-05-22T19:43:55.000Z,100000000000.0,0.0,100000000000,False,5009,2023-11-15T12:41:59.175Z,2.26387999624434e-06,1393.54,0.1558252,0.0,
26668,JEDI Coin,JEDI,2,2023-06-05T08:30:28.000Z,369000000000.0,0.0,369000000000,False,5010,2023-11-15T12:41:59.175Z,1.6369200114164e-07,1395.32,-1.5073894,0.0,
15798,Empower,MPWR,8,2021-12-08T09:16:51.000Z,,0.0,100000000,False,5011,2023-11-15T12:41:59.175Z,0.000614823914682072,1395.23,-3.50986352,0.0,
24763,Saiyan PEPE,SPEPE,15,2023-04-27T10:22:14.000Z,696911169082.0,0.0,696911169082,False,5012,2023-11-15T12:41:59.175Z,3.7174670249904e-07,1393.12,0.19947996,0.0,
22182,X7DAO,X7DAO,1,2022-10-13T15:44:08.000Z,100000000.0,0.0,100000000,False,5013,2023-11-15T12:41:59.175Z,0.006332416435586858,1392.45,1.45008163,0.0,
