trading_pair,volatility index ,average # trade,average volume,avarage quote volume,days not traded
ETHBTC,1.0335213537238512,32107.066666666666,20817.744603333336,574.1527001833334,0
LTCBTC,1.308818402884261,9005.4,34527.327000000005,39.43217215200001,0
BNBBTC,1.041139853956654,23285.833333333332,21770.340266666666,80.14040841466667,0
NEOBTC,1.341832293404331,1443.8333333333333,13956.184333333335,1.4986520433333335,0
QTUMETH,1.471197786423328,62.96666666666667,1899.1533333333334,1.3338471699999999,0
EOSETH,0.9118399526060813,169.86666666666667,23747.879999999997,3.378510096333332,0
SNTETH,2.406987568301509,387.8666666666667,1046156.4666666667,7.882867633333333,0
BNTETH,10.04101893095428,731.8666666666667,107792.57,16.536055463000004,0
BCCBTC,8.881784197001252e-16,0.0,0.0,0.0,30
GASBTC,1.527160030468088,1406.9,28895.51666666667,1.1060595936666668,0
BNBETH,1.0368596097959681,7053.666666666667,8824.794166666667,649.7139732699999,0
BTCUSDT,1.6252723537649927,1035817.6666666666,29816.270640666666,403822006.49574864,0
ETHUSDT,1.756232325655459,470904.26666666666,215095.38805,168346151.43192604,0
HSRBTC,8.881784197001252e-16,0.0,0.0,0.0,30
OAXETH,8.881784197001252e-16,0.0,0.0,0.0,30
DNTETH,8.881784197001252e-16,0.0,0.0,0.0,30
MCOETH,8.881784197001252e-16,0.0,0.0,0.0,30
ICNETH,8.881784197001252e-16,0.0,0.0,0.0,30
MCOBTC,8.881784197001252e-16,0.0,0.0,0.0,30
WTCBTC,4.630653832794486,1942.8,686479.3666666667,2.0747366476666667,0
WTCETH,2.220446049250313e-16,0.0,0.0,0.0,30
LRCBTC,1.6508849566900181,776.9333333333333,345277.8,1.0364837356666665,0
LRCETH,1.264390099639347,66.8,83923.5,4.320661373666667,0
QTUMBTC,1.5655843548508295,615.1333333333333,9666.333333333336,0.358795768,0
YOYOBTC,2.220446049250313e-16,0.0,0.0,0.0,30
OMGBTC,2.220446049250313e-16,0.0,0.0,0.0,30
OMGETH,2.220446049250313e-16,0.0,0.0,0.0,30
ZRXBTC,5.0023211142566995,1845.4333333333334,839618.2333333333,2.8718703216666666,0
ZRXETH,1.1102230246251565e-16,0.0,0.0,0.0,30
STRATBTC,1.1102230246251565e-16,0.0,0.0,0.0,30
STRATETH,1.1102230246251565e-16,0.0,0.0,0.0,30
SNGLSBTC,1.1102230246251565e-16,0.0,0.0,0.0,30
SNGLSETH,1.1102230246251565e-16,0.0,0.0,0.0,30
BQXBTC,1.1102230246251565e-16,0.0,0.0,0.0,30
BQXETH,1.1102230246251565e-16,0.0,0.0,0.0,30
KNCBTC,4.57357250556032,2004.3,177421.83333333328,2.170269245333333,0
KNCETH,2.220446049250313e-16,0.0,0.0,0.0,30
FUNBTC,2.220446049250313e-16,0.0,0.0,0.0,30
FUNETH,3.3356075431709895,331.7,7227874.3,8.050204452666666,0
SNMBTC,1.7763568394002505e-15,0.0,0.0,0.0,30
SNMETH,1.7763568394002505e-15,0.0,0.0,0.0,30
NEOETH,1.217251290611365,474.1333333333333,2285.219333333333,5.009767096000001,0
IOTABTC,1.4454562931035575,1023.8666666666667,677110.0333333333,1.804203928,0
IOTAETH,1.4406653093704502,67.86666666666666,62036.8,2.787125563333334,0
LINKBTC,2.8769933948351927,12444.733333333334,367253.54633333336,50.156850623999986,0
LINKETH,2.447784979981887,3680.733333333333,52758.922000000006,121.18744907400004,0
XVGBTC,2.220446049250313e-16,0.0,0.0,0.0,30
XVGETH,2.0676517841612547,135.73333333333332,2572546.433333333,2.6196993676666667,0
SALTBTC,1.1102230246251565e-16,0.0,0.0,0.0,30
SALTETH,1.1102230246251565e-16,0.0,0.0,0.0,30
MDABTC,1.1102230246251565e-16,0.0,0.0,0.0,30
MDAETH,1.1102230246251565e-16,0.0,0.0,0.0,30
MTLBTC,2.111994198783324,1060.2,69808.88333333333,1.8711790566666664,0
MTLETH,2.220446049250313e-16,0.0,0.0,0.0,30
SUBBTC,2.220446049250313e-16,0.0,0.0,0.0,30
SUBETH,2.220446049250313e-16,0.0,0.0,0.0,30
EOSBTC,1.2259500782571335,2168.3,598179.1956666666,6.357998368,0
SNTBTC,2.374130139203369,812.9666666666667,2049275.4666666666,0.9040490030000001,0
ETCETH,0.9899091379083856,304.8666666666667,1840.9203333333337,9.05157726333333,0
ETCBTC,1.248670740919559,2022.1666666666667,18474.71433333333,4.608474253333333,0
MTHBTC,0.0,0.0,0.0,0.0,30
MTHETH,0.0,0.0,0.0,0.0,30
ENGBTC,0.0,0.0,0.0,0.0,30
ENGETH,0.0,0.0,0.0,0.0,30
DNTBTC,0.0,0.0,0.0,0.0,30
ZECBTC,1.5717104143907186,827.5333333333333,6410.640933333335,2.881342672,0
ZECETH,1.5178842414548392,99.03333333333333,303.4727666666667,2.0766359326666666,0
BNTBTC,10.307285014844672,2950.4333333333334,563389.2266666667,5.363166248,0
ASTBTC,1.9666457916619176,1158.8333333333333,707944.6333333333,1.0803156596666665,0
ASTETH,0.0,0.0,0.0,0.0,30
DASHBTC,1.4382918546048986,1375.8333333333333,4282.168866666667,2.0317388563333334,0
DASHETH,1.1708310431367361,110.43333333333334,332.9527333333333,2.962492839333333,0
OAXBTC,7.645625931916026,5522.766666666666,1689703.8666666667,5.601759591666666,0
ICNBTC,4.440892098500626e-16,0.0,0.0,0.0,30
BTGBTC,4.440892098500626e-16,0.0,0.0,0.0,30
BTGETH,4.440892098500626e-16,0.0,0.0,0.0,30
EVXBTC,4.440892098500626e-16,0.0,0.0,0.0,30
