trading_pair,volatility index ,average # trade,average volume,avarage quote volume,days not traded
ETHBTC,0.0,400.0,18275.8,0.4772654,0
LTCBTC,0.0,400.0,18275.8,0.4772654,0
BNBBTC,0.0,400.0,18275.8,0.4772654,0
NEOBTC,0.0,400.0,18275.8,0.4772654,0
QTUMETH,0.0,400.0,18275.8,0.4772654,0
EOSETH,0.0,400.0,18275.8,0.4772654,0
SNTETH,0.0,400.0,18275.8,0.4772654,0
BNTETH,0.0,400.0,18275.8,0.4772654,0
BCCBTC,0.0,0.0,0.0,0.0,2
GASBTC,0.0,400.0,18275.8,0.4772654,0
BNBETH,0.0,400.0,18275.8,0.4772654,0
BTCUSDT,0.0,400.0,18275.8,0.4772654,0
ETHUSDT,0.0,400.0,18275.8,0.4772654,0
HSRBTC,0.0,0.0,0.0,0.0,2
OAXETH,0.0,0.0,0.0,0.0,2
DNTETH,0.0,0.0,0.0,0.0,2
MCOETH,0.0,0.0,0.0,0.0,2
ICNETH,0.0,0.0,0.0,0.0,2
MCOBTC,0.0,0.0,0.0,0.0,2
WTCBTC,0.0,400.0,18275.8,0.4772654,0
WTCETH,0.0,0.0,0.0,0.0,2
LRCBTC,0.0,400.0,18275.8,0.4772654,0
LRCETH,0.0,400.0,18275.8,0.4772654,0
QTUMBTC,0.0,400.0,18275.8,0.4772654,0
YOYOBTC,0.0,0.0,0.0,0.0,2
OMGBTC,0.0,400.0,18275.8,0.4772654,0
OMGETH,0.0,400.0,18275.8,0.4772654,0
ZRXBTC,0.0,400.0,18275.8,0.4772654,0
ZRXETH,0.0,400.0,18275.8,0.4772654,0
STRATBTC,0.0,0.0,0.0,0.0,2
STRATETH,0.0,0.0,0.0,0.0,2
SNGLSBTC,0.0,0.0,0.0,0.0,2
SNGLSETH,0.0,0.0,0.0,0.0,2
BQXBTC,0.0,0.0,0.0,0.0,2
BQXETH,0.0,0.0,0.0,0.0,2
KNCBTC,0.0,400.0,18275.8,0.4772654,0
KNCETH,0.0,400.0,18275.8,0.4772654,0
FUNBTC,0.0,0.0,0.0,0.0,2
FUNETH,0.0,400.0,18275.8,0.4772654,0
SNMBTC,0.0,400.0,18275.8,0.4772654,0
SNMETH,0.0,0.0,0.0,0.0,2
NEOETH,0.0,400.0,18275.8,0.4772654,0
IOTABTC,0.0,400.0,18275.8,0.4772654,0
IOTAETH,0.0,400.0,18275.8,0.4772654,0
LINKBTC,0.0,400.0,18275.8,0.4772654,0
LINKETH,0.0,400.0,18275.8,0.4772654,0
XVGBTC,0.0,0.0,0.0,0.0,2
XVGETH,0.0,400.0,18275.8,0.4772654,0
SALTBTC,0.0,0.0,0.0,0.0,2
SALTETH,0.0,0.0,0.0,0.0,2
MDABTC,0.0,0.0,0.0,0.0,2
MDAETH,0.0,0.0,0.0,0.0,2
