,Trading-Pairs,Base-Asset,Quote-Asset
0,ETHBTC,ETH,BTC
1,LTCBTC,LTC,BTC
2,BNBBTC,BNB,BTC
3,NEOBTC,NEO,BTC
4,QTUMETH,QTUM,ETH
5,EOSETH,EOS,ETH
6,SNTETH,SNT,ETH
7,BNTETH,BNT,ETH
8,BCCBTC,BCC,BTC
9,GASBTC,GAS,BTC
10,BNBETH,BNB,ETH
11,BTCUSDT,BTC,USDT
12,ETHUSDT,ETH,USDT
13,HSRBTC,HSR,BTC
14,OAXETH,OAX,ETH
15,DNTETH,DNT,ETH
16,MCOETH,MCO,ETH
17,ICNETH,ICN,ETH
18,MCOBTC,MCO,BTC
19,WTCBTC,WTC,BTC
20,WTCETH,WTC,ETH
21,LRCBTC,LRC,BTC
22,LRCETH,LRC,ETH
23,QTUMBTC,QTUM,BTC
24,YOYOBTC,YOYO,BTC
25,OMGBTC,OMG,BTC
26,OMGETH,OMG,ETH
27,ZRXBTC,ZRX,BTC
28,ZRXETH,ZRX,ETH
29,STRATBTC,STRAT,BTC
30,STRATETH,STRAT,ETH
31,SNGLSBTC,SNGLS,BTC
32,SNGLSETH,SNGLS,ETH
33,BQXBTC,BQX,BTC
34,BQXETH,BQX,ETH
35,KNCBTC,KNC,BTC
36,KNCETH,KNC,ETH
37,FUNBTC,FUN,BTC
38,FUNETH,FUN,ETH
39,SNMBTC,SNM,BTC
40,SNMETH,SNM,ETH
41,NEOETH,NEO,ETH
42,IOTABTC,IOTA,BTC
43,IOTAETH,IOTA,ETH
44,LINKBTC,LINK,BTC
45,LINKETH,LINK,ETH
46,XVGBTC,XVG,BTC
47,XVGETH,XVG,ETH
48,SALTBTC,SALT,BTC
49,SALTETH,SALT,ETH
50,MDABTC,MDA,BTC
51,MDAETH,MDA,ETH
52,MTLBTC,MTL,BTC
53,MTLETH,MTL,ETH
54,SUBBTC,SUB,BTC
55,SUBETH,SUB,ETH
56,EOSBTC,EOS,BTC
57,SNTBTC,SNT,BTC
58,ETCETH,ETC,ETH
59,ETCBTC,ETC,BTC
60,MTHBTC,MTH,BTC
61,MTHETH,MTH,ETH
62,ENGBTC,ENG,BTC
63,ENGETH,ENG,ETH
64,DNTBTC,DNT,BTC
65,ZECBTC,ZEC,BTC
66,ZECETH,ZEC,ETH
67,BNTBTC,BNT,BTC
68,ASTBTC,AST,BTC
69,ASTETH,AST,ETH
70,DASHBTC,DASH,BTC
71,DASHETH,DASH,ETH
72,OAXBTC,OAX,BTC
73,ICNBTC,ICN,BTC
74,BTGBTC,BTG,BTC
75,BTGETH,BTG,ETH
76,EVXBTC,EVX,BTC
77,EVXETH,EVX,ETH
78,REQBTC,REQ,BTC
79,REQETH,REQ,ETH
80,VIBBTC,VIB,BTC
81,VIBETH,VIB,ETH
82,HSRETH,HSR,ETH
83,TRXBTC,TRX,BTC
84,TRXETH,TRX,ETH
85,POWRBTC,POWR,BTC
86,POWRETH,POWR,ETH
87,ARKBTC,ARK,BTC
88,ARKETH,ARK,ETH
89,YOYOETH,YOYO,ETH
90,XRPBTC,XRP,BTC
91,XRPETH,XRP,ETH
92,MODBTC,MOD,BTC
93,MODETH,MOD,ETH
94,ENJBTC,ENJ,BTC
95,ENJETH,ENJ,ETH
96,STORJBTC,STORJ,BTC
97,STORJETH,STORJ,ETH
98,BNBUSDT,BNB,USDT
99,VENBNB,VEN,BNB
100,YOYOBNB,YOYO,BNB
101,POWRBNB,POWR,BNB
102,VENBTC,VEN,BTC
103,VENETH,VEN,ETH
104,KMDBTC,KMD,BTC
105,KMDETH,KMD,ETH
106,NULSBNB,NULS,BNB
107,RCNBTC,RCN,BTC
108,RCNETH,RCN,ETH
109,RCNBNB,RCN,BNB
110,NULSBTC,NULS,BTC
111,NULSETH,NULS,ETH
112,RDNBTC,RDN,BTC
113,RDNETH,RDN,ETH
114,RDNBNB,RDN,BNB
115,XMRBTC,XMR,BTC
116,XMRETH,XMR,ETH
117,DLTBNB,DLT,BNB
118,WTCBNB,WTC,BNB
119,DLTBTC,DLT,BTC
120,DLTETH,DLT,ETH
121,AMBBTC,AMB,BTC
122,AMBETH,AMB,ETH
123,AMBBNB,AMB,BNB
124,BCCETH,BCC,ETH
125,BCCUSDT,BCC,USDT
126,BCCBNB,BCC,BNB
127,BATBTC,BAT,BTC
128,BATETH,BAT,ETH
129,BATBNB,BAT,BNB
130,BCPTBTC,BCPT,BTC
131,BCPTETH,BCPT,ETH
132,BCPTBNB,BCPT,BNB
133,ARNBTC,ARN,BTC
134,ARNETH,ARN,ETH
135,GVTBTC,GVT,BTC
136,GVTETH,GVT,ETH
137,CDTBTC,CDT,BTC
138,CDTETH,CDT,ETH
139,GXSBTC,GXS,BTC
140,GXSETH,GXS,ETH
141,NEOUSDT,NEO,USDT
142,NEOBNB,NEO,BNB
143,POEBTC,POE,BTC
144,POEETH,POE,ETH
145,QSPBTC,QSP,BTC
146,QSPETH,QSP,ETH
147,QSPBNB,QSP,BNB
148,BTSBTC,BTS,BTC
149,BTSETH,BTS,ETH
150,BTSBNB,BTS,BNB
151,XZCBTC,XZC,BTC
152,XZCETH,XZC,ETH
153,XZCBNB,XZC,BNB
154,LSKBTC,LSK,BTC
155,LSKETH,LSK,ETH
156,LSKBNB,LSK,BNB
157,TNTBTC,TNT,BTC
158,TNTETH,TNT,ETH
159,FUELBTC,FUEL,BTC
160,FUELETH,FUEL,ETH
161,MANABTC,MANA,BTC
162,MANAETH,MANA,ETH
163,BCDBTC,BCD,BTC
164,BCDETH,BCD,ETH
165,DGDBTC,DGD,BTC
166,DGDETH,DGD,ETH
167,IOTABNB,IOTA,BNB
168,ADXBTC,ADX,BTC
169,ADXETH,ADX,ETH
170,ADXBNB,ADX,BNB
171,ADABTC,ADA,BTC
172,ADAETH,ADA,ETH
173,PPTBTC,PPT,BTC
174,PPTETH,PPT,ETH
175,CMTBTC,CMT,BTC
176,CMTETH,CMT,ETH
177,CMTBNB,CMT,BNB
178,XLMBTC,XLM,BTC
179,XLMETH,XLM,ETH
180,XLMBNB,XLM,BNB
181,CNDBTC,CND,BTC
182,CNDETH,CND,ETH
183,CNDBNB,CND,BNB
184,LENDBTC,LEND,BTC
185,LENDETH,LEND,ETH
186,WABIBTC,WABI,BTC
187,WABIETH,WABI,ETH
188,WABIBNB,WABI,BNB
189,LTCETH,LTC,ETH
190,LTCUSDT,LTC,USDT
191,LTCBNB,LTC,BNB
192,TNBBTC,TNB,BTC
193,TNBETH,TNB,ETH
194,WAVESBTC,WAVES,BTC
195,WAVESETH,WAVES,ETH
196,WAVESBNB,WAVES,BNB
197,GTOBTC,GTO,BTC
198,GTOETH,GTO,ETH
